second,Volt
+6.6000E-06,+431.2499762E-03
+6.8000E-06,+446.8749762E-03
+7.0000E-06,+478.1249762E-03
+7.2000E-06,+493.7499762E-03
+7.4000E-06,+509.3749762E-03
+7.6000E-06,+556.2499762E-03
+7.8000E-06,+603.1249762E-03
+8.0000E-06,+978.1249762E-03
+8.2000E-06,+1.5718749762E+00
+8.4000E-06,+1.5093749762E+00
+8.6000E-06,+1.7124999762E+00
+8.8000E-06,+1.5562499762E+00
+9.0000E-06,+1.5406249762E+00
+9.2000E-06,+1.5406249762E+00
+9.4000E-06,+1.5406249762E+00
+9.6000E-06,+1.5562499762E+00
+9.8000E-06,+1.5562499762E+00
+10.0000E-06,+1.5406249762E+00
+10.2000E-06,+1.5406249762E+00
+10.4000E-06,+1.5406249762E+00
+10.6000E-06,+1.5406249762E+00
+10.8000E-06,+1.5406249762E+00
+11.0000E-06,+1.5249999762E+00
+11.2000E-06,+1.5249999762E+00
+11.4000E-06,+1.5249999762E+00
+11.6000E-06,+1.5093749762E+00
+11.8000E-06,+1.4937499762E+00
+12.0000E-06,+1.4624999762E+00
+12.2000E-06,+259.3749762E-03
+12.4000E-06,+181.2499762E-03
+12.6000E-06,+56.2499762E-03
+12.8000E-06,+71.8749762E-03
+13.0000E-06,+165.6249762E-03
+13.2000E-06,+243.7499762E-03
+13.4000E-06,+290.6249762E-03
+13.6000E-06,+290.6249762E-03
+13.8000E-06,+337.4999762E-03
+14.0000E-06,+415.6249762E-03
+14.2000E-06,+478.1249762E-03
+14.4000E-06,+540.6249762E-03
+14.6000E-06,+587.4999762E-03
+14.8000E-06,+634.3749762E-03
+15.0000E-06,+618.7499762E-03
+15.2000E-06,+618.7499762E-03
+15.4000E-06,+665.6249762E-03
+15.6000E-06,+665.6249762E-03
+15.8000E-06,+712.4999762E-03
+16.0000E-06,+743.7499762E-03
+16.2000E-06,+774.9999762E-03
+16.4000E-06,+790.6249762E-03
+16.6000E-06,+806.2499762E-03
+16.8000E-06,+837.4999762E-03
+17.0000E-06,+821.8749762E-03
+17.2000E-06,+821.8749762E-03
+17.4000E-06,+821.8749762E-03
+17.6000E-06,+821.8749762E-03
+17.8000E-06,+837.4999762E-03
+18.0000E-06,+837.4999762E-03
+18.2000E-06,+868.7499762E-03
+18.4000E-06,+868.7499762E-03
+18.6000E-06,+868.7499762E-03
+18.8000E-06,+868.7499762E-03
+19.0000E-06,+853.1249762E-03
+19.2000E-06,+853.1249762E-03
+19.4000E-06,+853.1249762E-03
+19.6000E-06,+868.7499762E-03
+19.8000E-06,+884.3749762E-03
+20.0000E-06,+1.2437499762E+00
+20.2000E-06,+1.9624999762E+00
+20.4000E-06,+2.0562499762E+00
+20.6000E-06,+2.2593749762E+00
+20.8000E-06,+2.2281249762E+00
+21.0000E-06,+2.2124999762E+00
+21.2000E-06,+2.2124999762E+00
+21.4000E-06,+2.2124999762E+00
+21.6000E-06,+2.2437499762E+00
+21.8000E-06,+2.2437499762E+00
+22.0000E-06,+2.2437499762E+00
+22.2000E-06,+2.2281249762E+00
+22.4000E-06,+2.1968749762E+00
+22.6000E-06,+2.1812499762E+00
+22.8000E-06,+2.1812499762E+00
+23.0000E-06,+2.1812499762E+00
+23.2000E-06,+2.1968749762E+00
+23.4000E-06,+2.1968749762E+00
+23.6000E-06,+2.1968749762E+00
+23.8000E-06,+2.1812499762E+00
+24.0000E-06,+2.1187499762E+00
+24.2000E-06,+868.7499762E-03
+24.4000E-06,+743.7499762E-03
+24.6000E-06,+571.8749762E-03
+24.8000E-06,+540.6249762E-03
+25.0000E-06,+603.1249762E-03
+25.2000E-06,+649.9999762E-03
+25.4000E-06,+665.6249762E-03
+25.6000E-06,+649.9999762E-03
+25.8000E-06,+649.9999762E-03
+26.0000E-06,+681.2499762E-03
+26.2000E-06,+728.1249762E-03
+26.4000E-06,+774.9999762E-03
+26.6000E-06,+806.2499762E-03
+26.8000E-06,+821.8749762E-03
+27.0000E-06,+837.4999762E-03
+27.2000E-06,+821.8749762E-03
+27.4000E-06,+821.8749762E-03
+27.6000E-06,+821.8749762E-03
+27.8000E-06,+837.4999762E-03
+28.0000E-06,+868.7499762E-03
+28.2000E-06,+884.3749762E-03
+28.4000E-06,+915.6249762E-03
+28.6000E-06,+915.6249762E-03
+28.8000E-06,+915.6249762E-03
+29.0000E-06,+915.6249762E-03
+29.2000E-06,+884.3749762E-03
+29.4000E-06,+884.3749762E-03
+29.6000E-06,+884.3749762E-03
+29.8000E-06,+884.3749762E-03
+30.0000E-06,+884.3749762E-03
+30.2000E-06,+915.6249762E-03
+30.4000E-06,+899.9999762E-03
+30.6000E-06,+899.9999762E-03
+30.8000E-06,+899.9999762E-03
+31.0000E-06,+899.9999762E-03
+31.2000E-06,+884.3749762E-03
+31.4000E-06,+837.4999762E-03
+31.6000E-06,+884.3749762E-03
+31.8000E-06,+884.3749762E-03
+32.0000E-06,+884.3749762E-03
+32.2000E-06,+899.9999762E-03
+32.4000E-06,+899.9999762E-03
+32.6000E-06,+915.6249762E-03
+32.8000E-06,+899.9999762E-03
+33.0000E-06,+899.9999762E-03
+33.2000E-06,+899.9999762E-03
+33.4000E-06,+899.9999762E-03
+33.6000E-06,+915.6249762E-03
+33.8000E-06,+915.6249762E-03
+34.0000E-06,+931.2499762E-03
+34.2000E-06,+931.2499762E-03
+34.4000E-06,+931.2499762E-03
+34.6000E-06,+931.2499762E-03
+34.8000E-06,+931.2499762E-03
+35.0000E-06,+931.2499762E-03
+35.2000E-06,+946.8749762E-03
+35.4000E-06,+931.2499762E-03
+35.6000E-06,+931.2499762E-03
+35.8000E-06,+915.6249762E-03
+36.0000E-06,+915.6249762E-03
+36.2000E-06,+915.6249762E-03
+36.4000E-06,+915.6249762E-03
+36.6000E-06,+915.6249762E-03
+36.8000E-06,+899.9999762E-03
+37.0000E-06,+899.9999762E-03
+37.2000E-06,+884.3749762E-03
+37.4000E-06,+884.3749762E-03
+37.6000E-06,+884.3749762E-03
+37.8000E-06,+884.3749762E-03
+38.0000E-06,+899.9999762E-03
+38.2000E-06,+899.9999762E-03
+38.4000E-06,+899.9999762E-03
+38.6000E-06,+884.3749762E-03
+38.8000E-06,+884.3749762E-03
+39.0000E-06,+899.9999762E-03
+39.2000E-06,+899.9999762E-03
+39.4000E-06,+915.6249762E-03
+39.6000E-06,+915.6249762E-03
+39.8000E-06,+931.2499762E-03
+40.0000E-06,+1.2593749762E+00
+40.2000E-06,+2.1656249762E+00
+40.4000E-06,+2.3062499762E+00
+40.6000E-06,+2.4937499762E+00
+40.8000E-06,+2.5249999762E+00
+41.0000E-06,+2.4937499762E+00
+41.2000E-06,+2.4937499762E+00
+41.4000E-06,+2.4937499762E+00
+41.6000E-06,+2.5249999762E+00
+41.8000E-06,+2.5249999762E+00
+42.0000E-06,+2.4937499762E+00
+42.2000E-06,+2.4781249762E+00
+42.4000E-06,+2.4468749762E+00
+42.6000E-06,+2.4156249762E+00
+42.8000E-06,+2.3843749762E+00
+43.0000E-06,+2.3999999762E+00
+43.2000E-06,+2.4156249762E+00
+43.4000E-06,+2.4312499762E+00
+43.6000E-06,+2.4312499762E+00
+43.8000E-06,+2.3999999762E+00
