second,Volt
+43.6000E-06,+1.4250000119E+00
+43.8000E-06,+1.4250000119E+00
+44.0000E-06,-1.0437499881E+00
+44.2000E-06,-887.4999881E-03
+44.4000E-06,-824.9999881E-03
+44.6000E-06,-762.4999881E-03
+44.8000E-06,-731.2499881E-03
+45.0000E-06,-637.4999881E-03
+45.2000E-06,-606.2499881E-03
+45.4000E-06,-543.7499881E-03
+45.6000E-06,-512.4999881E-03
+45.8000E-06,-449.9999881E-03
+46.0000E-06,-449.9999881E-03
+46.2000E-06,-387.4999881E-03
+46.4000E-06,-356.2499881E-03
+46.6000E-06,-324.9999881E-03
+46.8000E-06,-293.7499881E-03
+47.0000E-06,-262.4999881E-03
+47.2000E-06,-262.4999881E-03
+47.4000E-06,-199.9999881E-03
+47.6000E-06,-199.9999881E-03
+47.8000E-06,-168.7499881E-03
+48.0000E-06,+2.1125000119E+00
+48.2000E-06,+1.8937500119E+00
+48.4000E-06,+1.7687500119E+00
+48.6000E-06,+1.8625000119E+00
+48.8000E-06,+1.8312500119E+00
+49.0000E-06,+1.8312500119E+00
+49.2000E-06,+1.8000000119E+00
+49.4000E-06,+1.8312500119E+00
+49.6000E-06,+1.8312500119E+00
+49.8000E-06,+1.7687500119E+00
+50.0000E-06,+1.8000000119E+00
+50.2000E-06,+1.8000000119E+00
+50.4000E-06,+1.8000000119E+00
+50.6000E-06,+1.8000000119E+00
+50.8000E-06,+1.8000000119E+00
+51.0000E-06,+1.7687500119E+00
+51.2000E-06,+1.8000000119E+00
+51.4000E-06,+1.8000000119E+00
+51.6000E-06,+1.7687500119E+00
+51.8000E-06,+1.7687500119E+00
+52.0000E-06,-699.9999881E-03
+52.2000E-06,-574.9999881E-03
+52.4000E-06,-543.7499881E-03
+52.6000E-06,-543.7499881E-03
+52.8000E-06,-449.9999881E-03
+53.0000E-06,-449.9999881E-03
+53.2000E-06,-387.4999881E-03
+53.4000E-06,-387.4999881E-03
+53.6000E-06,-324.9999881E-03
+53.8000E-06,-324.9999881E-03
+54.0000E-06,-262.4999881E-03
+54.2000E-06,-293.7499881E-03
+54.4000E-06,-262.4999881E-03
+54.6000E-06,-231.2499881E-03
+54.8000E-06,-199.9999881E-03
+55.0000E-06,-199.9999881E-03
+55.2000E-06,-168.7499881E-03
+55.4000E-06,-168.7499881E-03
+55.6000E-06,-137.4999881E-03
+55.8000E-06,-106.2499881E-03
+56.0000E-06,+1.9875000119E+00
+56.2000E-06,+1.9250000119E+00
+56.4000E-06,+1.9875000119E+00
+56.6000E-06,+2.0187500119E+00
+56.8000E-06,+1.9875000119E+00
+57.0000E-06,+1.9875000119E+00
+57.2000E-06,+1.9562500119E+00
+57.4000E-06,+1.9875000119E+00
+57.6000E-06,+1.9875000119E+00
+57.8000E-06,+2.0187500119E+00
+58.0000E-06,+1.9875000119E+00
+58.2000E-06,+1.9562500119E+00
+58.4000E-06,+1.9562500119E+00
+58.6000E-06,+1.9562500119E+00
+58.8000E-06,+1.9562500119E+00
+59.0000E-06,+1.9562500119E+00
+59.2000E-06,+1.9562500119E+00
+59.4000E-06,+1.9562500119E+00
+59.6000E-06,+1.9562500119E+00
+59.8000E-06,+1.9250000119E+00
+60.0000E-06,-543.7499881E-03
+60.2000E-06,-449.9999881E-03
+60.4000E-06,-449.9999881E-03
+60.6000E-06,-387.4999881E-03
+60.8000E-06,-356.2499881E-03
+61.0000E-06,-387.4999881E-03
+61.2000E-06,-324.9999881E-03
+61.4000E-06,-293.7499881E-03
+61.6000E-06,-262.4999881E-03
+61.8000E-06,-231.2499881E-03
+62.0000E-06,-231.2499881E-03
+62.2000E-06,-231.2499881E-03
+62.4000E-06,-199.9999881E-03
+62.6000E-06,-168.7499881E-03
+62.8000E-06,-199.9999881E-03
+63.0000E-06,-168.7499881E-03
+63.2000E-06,-168.7499881E-03
+63.4000E-06,-106.2499881E-03
+63.6000E-06,-106.2499881E-03
+63.8000E-06,-106.2499881E-03
+64.0000E-06,-106.2499881E-03
+64.2000E-06,-74.9999881E-03
+64.4000E-06,-43.7499881E-03
+64.6000E-06,-74.9999881E-03
+64.8000E-06,-74.9999881E-03
+65.0000E-06,-74.9999881E-03
+65.2000E-06,-74.9999881E-03
+65.4000E-06,-43.7499881E-03
+65.6000E-06,-74.9999881E-03
+65.8000E-06,-43.7499881E-03
+66.0000E-06,-43.7499881E-03
+66.2000E-06,-43.7499881E-03
+66.4000E-06,-43.7499881E-03
+66.6000E-06,-12.4999881E-03
+66.8000E-06,-12.4999881E-03
+67.0000E-06,-43.7499881E-03
+67.2000E-06,-43.7499881E-03
+67.4000E-06,-43.7499881E-03
+67.6000E-06,-43.7499881E-03
+67.8000E-06,-43.7499881E-03
+68.0000E-06,+2.1750000119E+00
